record_id,job_family,tenure_days,left_flag,reason
ATT-20001,Sales,120,1,Career growth
ATT-20002,Technology,540,1,Involuntary
ATT-20003,Operations,60,1,Compensation
ATT-20004,Sales,90,0,
ATT-20005,Operations,320,0,
ATT-20006,Technology,240,0,
ATT-20007,Technology,120,1,Compensation
ATT-20008,Sales,72,1,Better opportunity
ATT-20009,Sales,240,0,
ATT-20010,People,90,1,Manager relationship
ATT-20011,Sales,320,1,Better opportunity
ATT-20012,Finance,31,0,
ATT-20013,Technology,180,1,Relocation
ATT-20014,Operations,150,1,Relocation
ATT-20015,Operations,150,0,
ATT-20016,Operations,90,1,Better opportunity
ATT-20017,People,72,1,Involuntary
ATT-20018,Operations,320,1,Relocation
ATT-20019,Operations,150,1,Better opportunity
ATT-20020,Sales,90,0,
ATT-20021,Operations,72,1,Better opportunity
ATT-20022,People,410,1,Career growth
ATT-20023,Sales,150,0,
ATT-20024,People,540,1,Role mismatch
ATT-20025,Sales,45,0,
ATT-20026,Sales,320,0,
ATT-20027,People,150,1,Compensation
ATT-20028,Finance,540,1,Compensation
ATT-20029,Finance,120,0,
ATT-20030,Sales,320,0,
ATT-20031,Technology,540,1,Manager relationship
ATT-20032,Finance,540,0,
ATT-20033,People,410,1,Career growth
ATT-20034,Finance,60,0,
ATT-20035,Technology,72,1,Onboarding friction
ATT-20036,People,150,0,
ATT-20037,Technology,540,1,Role mismatch
ATT-20038,Finance,88,0,
ATT-20039,Finance,540,1,Role mismatch
ATT-20040,Sales,88,1,Manager relationship
ATT-20041,Operations,180,1,Relocation
ATT-20042,Finance,240,1,Role mismatch
ATT-20043,Finance,410,1,Role mismatch
ATT-20044,Technology,410,1,Role mismatch
ATT-20045,Operations,410,0,
ATT-20046,Operations,60,1,Career growth
ATT-20047,Finance,320,1,Relocation
ATT-20048,Sales,88,1,Compensation
ATT-20049,Finance,90,0,
ATT-20050,Sales,120,1,Manager relationship
ATT-20051,Finance,320,1,Onboarding friction
ATT-20052,Sales,90,1,Involuntary
ATT-20053,Operations,180,1,Involuntary
ATT-20054,Technology,31,0,
ATT-20055,People,90,1,Relocation
ATT-20056,Operations,60,1,Better opportunity
ATT-20057,Operations,90,1,Compensation
