item_id,employee_id,doc_type,jurisdiction,due_date,status
CMP-80001,EMP7000,EPF/SOCSO registration,MY,2026-06-05,Verified
CMP-80002,EMP7000,Signed employment contract,MY,2026-06-02,Missing
CMP-80003,EMP7001,EPF/SOCSO registration,MY,2026-06-30,Verified
CMP-80004,EMP7001,Signed employment contract,MY,2026-06-30,Verified
CMP-80005,EMP7002,Employment Pass (Work Authorization),SG,2026-06-05,Submitted
CMP-80006,EMP7002,Signed employment contract,SG,2026-05-29,Verified
CMP-80007,EMP7003,Employment Pass (Work Authorization),SG,2026-07-22,Verified
CMP-80008,EMP7003,Signed employment contract,SG,2026-07-18,Verified
CMP-80009,EMP7004,EPF/SOCSO registration,MY,2026-04-30,Verified
CMP-80010,EMP7004,Signed employment contract,MY,2026-04-30,Missing
CMP-80011,EMP7005,EPF/SOCSO registration,MY,2026-06-03,Verified
CMP-80012,EMP7005,Signed employment contract,MY,2026-06-03,Verified
CMP-80013,EMP7006,EPF/SOCSO registration,MY,2026-06-13,Verified
CMP-80014,EMP7006,Signed employment contract,MY,2026-06-06,Verified
CMP-80015,EMP7007,EPF/SOCSO registration,MY,2026-05-14,Verified
CMP-80016,EMP7007,Signed employment contract,MY,2026-05-11,Verified
CMP-80017,EMP7008,EPF/SOCSO registration,MY,2026-06-28,Verified
CMP-80018,EMP7008,Signed employment contract,MY,2026-07-05,Verified
CMP-80019,EMP7009,EPF/SOCSO registration,MY,2026-08-01,Verified
CMP-80020,EMP7009,Signed employment contract,MY,2026-08-01,Submitted
CMP-80021,EMP7010,EPF/SOCSO registration,MY,2026-05-10,Verified
CMP-80022,EMP7010,Signed employment contract,MY,2026-05-10,Submitted
CMP-80023,EMP7011,EPF/SOCSO registration,MY,2026-06-18,Verified
CMP-80024,EMP7011,Signed employment contract,MY,2026-06-22,Verified
CMP-80025,EMP7012,EPF/SOCSO registration,MY,2026-06-01,Verified
CMP-80026,EMP7012,Signed employment contract,MY,2026-06-01,Verified
CMP-80027,EMP7013,EPF/SOCSO registration,MY,2026-07-05,Submitted
CMP-80028,EMP7013,Signed employment contract,MY,2026-07-05,Verified
CMP-80029,EMP7014,EPF/SOCSO registration,MY,2026-07-31,Verified
CMP-80030,EMP7014,Signed employment contract,MY,2026-07-24,Submitted
CMP-80031,EMP7015,FRRO registration (Work Authorization),IN,2026-07-13,Verified
CMP-80032,EMP7015,PF/UAN declaration,IN,2026-07-09,Verified
CMP-80033,EMP7016,Employment Pass (Work Authorization),SG,2026-05-13,Verified
CMP-80034,EMP7016,Signed employment contract,SG,2026-05-20,Verified
CMP-80035,EMP7017,EPF/SOCSO registration,MY,2026-07-21,Verified
CMP-80036,EMP7017,Signed employment contract,MY,2026-07-24,Verified
CMP-80037,EMP7018,EPF/SOCSO registration,MY,2026-06-11,Missing
CMP-80038,EMP7018,Signed employment contract,MY,2026-06-18,Verified
CMP-80039,EMP7019,Employment Pass (Work Authorization),SG,2026-06-15,Verified
CMP-80040,EMP7019,Signed employment contract,SG,2026-06-04,Verified
CMP-80041,EMP7020,Employment Pass (Work Authorization),SG,2026-05-17,Verified
CMP-80042,EMP7020,Signed employment contract,SG,2026-05-17,Submitted
CMP-80043,EMP7021,Employment Pass (Work Authorization),SG,2026-07-15,Submitted
CMP-80044,EMP7021,Signed employment contract,SG,2026-07-11,Verified
CMP-80045,EMP7022,EPF/SOCSO registration,MY,2026-07-19,Verified
CMP-80046,EMP7022,Signed employment contract,MY,2026-07-19,Verified
CMP-80047,EMP7023,Employment Pass (Work Authorization),SG,2026-05-01,Verified
CMP-80048,EMP7023,Signed employment contract,SG,2026-05-12,Verified
CMP-80049,EMP7024,Employment Pass (Work Authorization),SG,2026-08-08,Submitted
CMP-80050,EMP7024,Signed employment contract,SG,2026-08-08,Verified
CMP-80051,EMP7025,EPF/SOCSO registration,MY,2026-04-24,Submitted
CMP-80052,EMP7025,Signed employment contract,MY,2026-04-28,Verified
CMP-80053,EMP7026,EPF/SOCSO registration,MY,2026-08-14,Submitted
CMP-80054,EMP7026,Signed employment contract,MY,2026-08-18,Verified
CMP-80055,EMP7027,Employment Pass (Work Authorization),SG,2026-04-26,Verified
CMP-80056,EMP7027,Signed employment contract,SG,2026-05-03,Submitted
CMP-80057,EMP7028,EPF/SOCSO registration,MY,2026-07-09,Missing
CMP-80058,EMP7028,Signed employment contract,MY,2026-07-09,Verified
CMP-80059,EMP7029,EPF/SOCSO registration,MY,2026-06-12,Verified
CMP-80060,EMP7029,Signed employment contract,MY,2026-06-19,Verified
CMP-80061,EMP7030,Employment Pass (Work Authorization),SG,2026-06-24,Submitted
CMP-80062,EMP7030,Signed employment contract,SG,2026-06-28,Verified
CMP-80063,EMP7031,EPF/SOCSO registration,MY,2026-05-19,Missing
CMP-80064,EMP7031,Signed employment contract,MY,2026-05-26,Verified
CMP-80065,EMP7032,Employment Pass (Work Authorization),SG,2026-08-04,Submitted
CMP-80066,EMP7032,Signed employment contract,SG,2026-08-08,Submitted
CMP-80067,EMP7033,EPF/SOCSO registration,MY,2026-06-18,Verified
CMP-80068,EMP7033,Signed employment contract,MY,2026-06-22,Verified
CMP-80069,EMP7034,EPF/SOCSO registration,MY,2026-06-10,Missing
CMP-80070,EMP7034,Signed employment contract,MY,2026-06-06,Submitted
CMP-80071,EMP7035,EPF/SOCSO registration,MY,2026-06-30,Verified
CMP-80072,EMP7035,Signed employment contract,MY,2026-06-26,Submitted
CMP-80073,EMP7036,EPF/SOCSO registration,MY,2026-07-02,Verified
CMP-80074,EMP7036,Signed employment contract,MY,2026-07-06,Submitted
CMP-80075,EMP7037,EPF/SOCSO registration,MY,2026-04-28,Submitted
CMP-80076,EMP7037,Signed employment contract,MY,2026-04-24,Missing
CMP-80077,EMP7038,Employment Pass (Work Authorization),SG,2026-05-21,Verified
CMP-80078,EMP7038,Signed employment contract,SG,2026-05-25,Verified
CMP-80079,EMP7039,EPF/SOCSO registration,MY,2026-08-19,Verified
CMP-80080,EMP7039,Signed employment contract,MY,2026-08-08,Verified
CMP-80081,EMP7040,EPF/SOCSO registration,MY,2026-08-06,Submitted
CMP-80082,EMP7040,Signed employment contract,MY,2026-08-06,Submitted
CMP-80083,EMP7041,EPF/SOCSO registration,MY,2026-05-23,Submitted
CMP-80084,EMP7041,Signed employment contract,MY,2026-05-19,Missing
