dep_id,employee_id,team,task,status,blocks_day_one
DEP-10001,EMP7000,IT,Grant SSO/system access,In Progress,false
DEP-10002,EMP7000,Payroll,Register statutory contributions,In Progress,true
DEP-10003,EMP7000,Facilities,Issue building badge,Blocked,true
DEP-10004,EMP7000,Security,Background check clearance,In Progress,false
DEP-10005,EMP7001,IT,Provision laptop image,Done,true
DEP-10006,EMP7001,Payroll,Set up payroll & bank details,Done,false
DEP-10007,EMP7001,Facilities,Assign desk/seating,Done,false
DEP-10008,EMP7001,Security,Background check clearance,Done,false
DEP-10009,EMP7002,IT,Grant SSO/system access,Blocked,false
DEP-10010,EMP7002,Payroll,Register statutory contributions,Done,false
DEP-10011,EMP7002,Facilities,Issue building badge,Done,true
DEP-10012,EMP7002,Security,Background check clearance,Blocked,false
DEP-10013,EMP7003,IT,Provision laptop image,In Progress,false
DEP-10014,EMP7003,Payroll,Set up payroll & bank details,Blocked,false
DEP-10015,EMP7003,Facilities,Assign desk/seating,Done,true
DEP-10016,EMP7003,Security,Background check clearance,Done,false
DEP-10017,EMP7004,IT,Grant SSO/system access,Done,false
DEP-10018,EMP7004,Payroll,Register statutory contributions,Done,false
DEP-10019,EMP7004,Facilities,Issue building badge,Done,true
DEP-10020,EMP7004,Security,Background check clearance,In Progress,false
DEP-10021,EMP7005,IT,Grant SSO/system access,In Progress,false
DEP-10022,EMP7005,Payroll,Register statutory contributions,In Progress,false
DEP-10023,EMP7005,Facilities,Issue building badge,In Progress,true
DEP-10024,EMP7005,Security,Badge printing & activation,In Progress,true
DEP-10025,EMP7006,IT,Grant SSO/system access,Done,true
DEP-10026,EMP7006,Payroll,Set up payroll & bank details,Done,false
DEP-10027,EMP7006,Facilities,Assign desk/seating,In Progress,false
DEP-10028,EMP7006,Security,Background check clearance,Done,false
DEP-10029,EMP7007,IT,Grant SSO/system access,Done,false
DEP-10030,EMP7007,Payroll,Set up payroll & bank details,Blocked,false
DEP-10031,EMP7007,Facilities,Assign desk/seating,Blocked,false
DEP-10032,EMP7007,Security,Background check clearance,In Progress,true
DEP-10033,EMP7008,IT,Provision laptop image,In Progress,false
DEP-10034,EMP7008,Payroll,Set up payroll & bank details,Done,false
DEP-10035,EMP7008,Facilities,Assign desk/seating,Done,false
DEP-10036,EMP7008,Security,Background check clearance,Blocked,false
DEP-10037,EMP7009,IT,Provision laptop image,Done,false
DEP-10038,EMP7009,Payroll,Set up payroll & bank details,In Progress,false
DEP-10039,EMP7009,Facilities,Assign desk/seating,In Progress,false
DEP-10040,EMP7009,Security,Background check clearance,Blocked,false
DEP-10041,EMP7010,IT,Grant SSO/system access,Done,false
DEP-10042,EMP7010,Payroll,Register statutory contributions,Blocked,false
DEP-10043,EMP7010,Facilities,Issue building badge,In Progress,true
DEP-10044,EMP7010,Security,Badge printing & activation,Done,true
DEP-10045,EMP7011,IT,Grant SSO/system access,Done,true
DEP-10046,EMP7011,Payroll,Register statutory contributions,In Progress,false
DEP-10047,EMP7011,Facilities,Assign desk/seating,Done,true
DEP-10048,EMP7011,Security,Background check clearance,Done,false
DEP-10049,EMP7012,IT,Provision laptop image,Done,false
DEP-10050,EMP7012,Payroll,Register statutory contributions,Done,false
DEP-10051,EMP7012,Facilities,Issue building badge,Done,true
DEP-10052,EMP7012,Security,Badge printing & activation,Done,true
DEP-10053,EMP7013,IT,Grant SSO/system access,In Progress,true
DEP-10054,EMP7013,Payroll,Set up payroll & bank details,Done,false
DEP-10055,EMP7013,Facilities,Issue building badge,In Progress,true
DEP-10056,EMP7013,Security,Background check clearance,Done,false
DEP-10057,EMP7014,IT,Provision laptop image,Done,false
DEP-10058,EMP7014,Payroll,Set up payroll & bank details,Done,false
DEP-10059,EMP7014,Facilities,Assign desk/seating,Done,false
DEP-10060,EMP7014,Security,Background check clearance,Blocked,true
DEP-10061,EMP7015,IT,Grant SSO/system access,Blocked,false
DEP-10062,EMP7015,Payroll,Set up payroll & bank details,In Progress,false
DEP-10063,EMP7015,Facilities,Assign desk/seating,Done,false
DEP-10064,EMP7015,Security,Background check clearance,In Progress,false
DEP-10065,EMP7016,IT,Grant SSO/system access,Done,false
DEP-10066,EMP7016,Payroll,Set up payroll & bank details,In Progress,true
DEP-10067,EMP7016,Facilities,Issue building badge,Done,true
DEP-10068,EMP7016,Security,Badge printing & activation,In Progress,true
DEP-10069,EMP7017,IT,Grant SSO/system access,Done,false
DEP-10070,EMP7017,Payroll,Register statutory contributions,In Progress,false
DEP-10071,EMP7017,Facilities,Issue building badge,In Progress,true
DEP-10072,EMP7017,Security,Badge printing & activation,Done,true
DEP-10073,EMP7018,IT,Grant SSO/system access,Done,false
DEP-10074,EMP7018,Payroll,Set up payroll & bank details,Done,false
