milestone_id,employee_id,course,due_day,status
LRN-30001,EMP7000,Security Awareness,Day 7,Completed
LRN-30002,EMP7000,Anti-Harassment & Respect at Work,Day 30,In Progress
LRN-30003,EMP7000,Role-Specific Certification,Day 60,Completed
LRN-30004,EMP7001,Security Awareness,Day 7,In Progress
LRN-30005,EMP7001,Anti-Harassment & Respect at Work,Day 30,Not Started
LRN-30006,EMP7001,Role-Specific Certification,Day 60,Completed
LRN-30007,EMP7002,Security Awareness,Day 7,Not Started
LRN-30008,EMP7002,Data Privacy (PDPA/GDPR),Day 30,In Progress
LRN-30009,EMP7002,Compliance Refresher,Day 60,Completed
LRN-30010,EMP7003,Security Awareness,Day 7,In Progress
LRN-30011,EMP7003,Anti-Harassment & Respect at Work,Day 30,In Progress
LRN-30012,EMP7003,Role-Specific Certification,Day 60,Completed
LRN-30013,EMP7004,Code of Conduct,Day 7,In Progress
LRN-30014,EMP7004,Data Privacy (PDPA/GDPR),Day 30,In Progress
LRN-30015,EMP7004,Compliance Refresher,Day 60,Completed
LRN-30016,EMP7005,Security Awareness,Day 7,Completed
LRN-30017,EMP7005,Data Privacy (PDPA/GDPR),Day 30,Not Started
LRN-30018,EMP7005,Role-Specific Certification,Day 60,Completed
LRN-30019,EMP7006,Security Awareness,Day 7,Completed
LRN-30020,EMP7006,Data Privacy (PDPA/GDPR),Day 30,Completed
LRN-30021,EMP7006,Compliance Refresher,Day 60,Completed
LRN-30022,EMP7007,Code of Conduct,Day 7,Not Started
LRN-30023,EMP7007,Anti-Harassment & Respect at Work,Day 30,In Progress
LRN-30024,EMP7007,Role-Specific Certification,Day 60,Completed
LRN-30025,EMP7008,Security Awareness,Day 7,Completed
LRN-30026,EMP7008,Data Privacy (PDPA/GDPR),Day 30,Completed
LRN-30027,EMP7008,Compliance Refresher,Day 60,Completed
LRN-30028,EMP7009,Security Awareness,Day 7,Completed
LRN-30029,EMP7009,Data Privacy (PDPA/GDPR),Day 30,Completed
LRN-30030,EMP7009,Role-Specific Certification,Day 60,Completed
LRN-30031,EMP7010,Security Awareness,Day 7,Not Started
LRN-30032,EMP7010,Anti-Harassment & Respect at Work,Day 30,Not Started
LRN-30033,EMP7010,Compliance Refresher,Day 60,Completed
LRN-30034,EMP7011,Code of Conduct,Day 7,Completed
LRN-30035,EMP7011,Anti-Harassment & Respect at Work,Day 30,Completed
LRN-30036,EMP7011,Role-Specific Certification,Day 60,Not Started
LRN-30037,EMP7012,Code of Conduct,Day 7,Completed
