payroll_id,employee_id,cycle,gross,net,status,error_reason
PAY-40001,EMP7000,2026-06,6000,4693.53,Paid,
PAY-40002,EMP7001,2026-07,8500,,Pending,
PAY-40003,EMP7002,2026-06,8500,7227.78,Paid,
PAY-40004,EMP7003,2026-08,3200,,Pending,
PAY-40005,EMP7004,2026-05,3800,,Pending,
PAY-40006,EMP7005,2026-06,3200,2573.25,Paid,
PAY-40007,EMP7006,2026-07,6000,,Pending,
PAY-40008,EMP7007,2026-06,6000,5051.19,Paid,
PAY-40009,EMP7008,2026-07,6000,4746.52,Paid,
PAY-40010,EMP7009,2026-08,5200,,Pending,
PAY-40011,EMP7010,2026-05,4500,3524.52,Paid,
PAY-40012,EMP7011,2026-07,5200,4229.96,Paid,
PAY-40013,EMP7012,2026-06,8500,6803.6,Paid,
PAY-40014,EMP7013,2026-07,8500,7415.55,Paid,
PAY-40015,EMP7014,2026-08,7200,,Pending,
PAY-40016,EMP7015,2026-07,3200,2519.33,Paid,
PAY-40017,EMP7016,2026-06,6000,,Pending,
PAY-40018,EMP7017,2026-08,7200,,Pending,
PAY-40019,EMP7018,2026-07,8500,7463.9,Paid,
PAY-40020,EMP7019,2026-07,5200,4374.46,Paid,
PAY-40021,EMP7020,2026-06,3200,,Pending,
PAY-40022,EMP7021,2026-08,5200,,Pending,
PAY-40023,EMP7022,2026-08,4500,3556.83,Paid,
PAY-40024,EMP7023,2026-05,5200,4394.18,Paid,
PAY-40025,EMP7024,2026-09,5200,4462.4,Paid,
PAY-40026,EMP7025,2026-05,3800,2985.04,Paid,
PAY-40027,EMP7026,2026-09,8500,6796.75,Paid,
PAY-40028,EMP7027,2026-05,6000,,Pending,
PAY-40029,EMP7028,2026-08,7200,5629.03,Paid,
PAY-40030,EMP7029,2026-07,5200,4454.15,Paid,
PAY-40031,EMP7030,2026-07,7200,6120.96,Paid,
PAY-40032,EMP7031,2026-06,6000,4942.77,Paid,
